country_name,gdp_debt,population
Japan,234.18%,"126,860,301"
Greece,181.78%,"10,473,455"
Sudan,176.02%,
Venezuela,172.08%,"28,515,829"
Lebanon,160.57%,"6,855,713"
Italy,127.51%,"60,550,075"
Eritrea,127.34%,"3,497,117"
Barbados,127.31%,"287,025"
Cape Verde,126.66%,"549,935"
Portugal,117.54%,"10,226,187"
Mozambique,116.60%,"30,366,036"
United States,109.45%,"329,064,917"
Singapore,108.79%,"5,804,337"
Gambia,105.17%,"2,347,706"
Republic of the Congo,105.01%,"5,380,508"
Bahrain,102.01%,"1,641,172"
Belgium,99.08%,"11,539,328"
France,96.20%,"65,129,728"
Bhutan,96.05%,"763,092"
Yemen,95.83%,"29,161,922"
Belize,95.53%,"390,353"
Spain,95.12%,"46,736,776"
Jamaica,93.99%,"2,948,279"
Jordan,90.83%,"10,101,694"
Brazil,90.24%,"211,049,527"
Antigua and Barbuda,90.23%,"97,118"
Cyprus,89.52%,"1,198,575"
Dominica,87.25%,"71,808"
Egypt,87.08%,"100,388,073"
United Kingdom,85.92%,"67,530,172"
Canada,83.81%,"37,411,047"
Saint Vincent and the Grenadines,81.23%,"110,589"
Ukraine,76.86%,"43,993,638"
Sri Lanka,75.19%,"21,323,733"
Saint Lucia,74.91%,"182,790"
Tunisia,73.31%,"11,694,719"
Mauritania,73.17%,"4,525,696"
Maldives,72.82%,"530,953"
Zimbabwe,72.64%,"14,645,468"
Croatia,72.58%,"4,130,304"
Sao Tome and Principe,72.16%,"215,056"
Austria,71.97%,"8,955,102"
Angola,71.59%,"31,825,295"
Togo,70.57%,"8,082,366"
Slovenia,69.80%,"2,078,654"
Burundi,69.45%,"11,530,580"
Albania,68.50%,"2,880,917"
Zambia,68.04%,"17,861,030"
Suriname,67.73%,"581,372"
Pakistan,67.44%,"216,565,318"
India,67.29%,"1,366,417,754"
Laos,66.71%,"7,169,455"
Montenegro,66.50%,"627,987"
Puerto Rico,66.02%,"2,933,408"
Ghana,65.90%,"30,417,856"
Hungary,65.87%,"9,684,679"
Uruguay,65.17%,"3,461,734"
Ireland,64.86%,"4,882,495"
Sierra Leone,63.99%,"7,813,215"
Morocco,62.44%,"36,471,769"
Nauru,61.69%,"10,756"
Israel,61.38%,"8,519,377"
Finland,59.56%,"5,532,156"
Gabon,59.34%,"2,172,579"
Mauritius,59.11%,"1,269,668"
El Salvador,58.83%,"6,453,553"
Senegal,58.75%,"16,296,364"
Namibia,58.52%,"2,494,530"
Vietnam,58.13%,"96,462,106"
Malawi,57.59%,"18,628,747"
Saint Kitts and Nevis,57.55%,"52,823"
Bahamas,56.95%,"389,482"
Kenya,56.95%,"52,573,973"
Grenada,56.72%,"112,003"
Ethiopia,56.70%,"112,078,730"
Azerbaijan,56.37%,"10,047,718"
Guyana,56.12%,"782,766"
Costa Rica,55.92%,"5,047,561"
Germany,55.75%,"83,517,045"
South Africa,55.70%,"58,558,270"
Armenia,55.58%,"2,957,731"
Serbia,55.09%,"8,772,235"
Kyrgyzstan,55.08%,"6,415,850"
San Marino,54.61%,"33,860"
China,54.44%,"1,433,783,686"
Iraq,54.44%,"39,309,783"
Seychelles,53.68%,"97,739"
Mexico,53.43%,"127,575,529"
Argentina,52.75%,"44,780,677"
Benin,52.64%,"11,801,151"
Malaysia,52.62%,"31,949,777"
Bolivia,52.31%,"11,513,100"
Qatar,51.96%,"2,832,067"
Vanuatu,51.70%,"299,882"
Netherlands,50.91%,"17,097,130"
Ecuador,50.05%,"17,373,662"
Belarus,49.93%,"9,452,411"
Tajikistan,49.88%,"9,321,018"
Poland,49.80%,"37,887,768"
Iran,49.21%,"82,913,906"
South Sudan,48.58%,"11,062,113"
Equatorial Guinea,48.41%,"1,355,986"
Oman,48.34%,"4,974,986"
Colombia,48.17%,"50,339,443"
Niger,47.53%,"23,310,715"
Ivory Coast,46.87%,"25,716,544"
Fiji,46.86%,"889,953"
Slovakia,46.56%,"5,457,013"
Samoa,46.25%,"197,097"
Malta,45.94%,"440,372"
Chad,45.39%,"15,946,876"
Guinea,44.69%,"12,771,246"
Trinidad and Tobago,44.67%,"1,394,973"
Uganda,44.51%,"44,269,594"
Central African Republic,44.37%,"4,745,185"
Georgia,44.09%,"3,996,765"
Honduras,44.08%,"9,746,117"
Rwanda,43.12%,"12,626,950"
Macedonia,42.22%,"2,083,459"
Moldova,41.99%,"4,043,263"
Lesotho,41.74%,"2,125,268"
Thailand,41.58%,"69,625,582"
Burkina Faso,41.34%,"20,321,378"
Switzerland,41.10%,"8,591,365"
Australia,41.05%,"25,203,198"
Swaziland,40.97%,"1,148,130"
Tanzania,40.72%,"58,005,463"
Liberia,39.12%,"4,937,374"
Romania,38.96%,"19,364,557"
Algeria,38.42%,"43,053,054"
Bosnia and Herzegovina,38.38%,"3,301,000"
South Korea,38.27%,"51,225,308"
Madagascar,38.02%,"26,969,307"
Dominican Republic,37.87%,"10,738,958"
Guinea-Bissau,37.59%,"1,920,922"
Panama,36.97%,"4,246,439"
Norway,36.66%,"5,378,857"
Mali,36.58%,"19,658,031"
Philippines,36.28%,"108,116,615"
Cambodia,36.19%,"16,486,542"
Denmark,35.06%,"5,771,876"
Iceland,34.88%,"339,031"
Myanmar,34.87%,"54,045,420"
Nicaragua,34.58%,"6,545,502"
Sweden,34.45%,"10,036,379"
Haiti,34.27%,"11,263,077"
Cameroon,34.06%,"25,876,380"
Turkmenistan,33.62%,"5,942,089"
Bangladesh,33.36%,"163,046,161"
Kiribati,32.88%,"117,606"
Kuwait,32.42%,"4,207,083"
Latvia,31.92%,"1,906,743"
Taiwan,31.83%,"23,773,876"
Tuvalu,31.49%,"11,646"
Lithuania,31.41%,"2,759,627"
Czech Republic,31.29%,"10,689,209"
Papua New Guinea,30.67%,"8,776,109"
Indonesia,30.25%,"270,625,568"
Djibouti,29.33%,"973,560"
Nepal,28.83%,"28,608,710"
Comoros,28.48%,"850,886"
Peru,28.01%,"32,510,453"
Turkey,27.86%,"83,429,615"
Nigeria,27.37%,"200,963,599"
Paraguay,26.06%,"7,044,636"
Guatemala,24.64%,"17,581,472"
Chile,24.62%,"18,952,038"
Saudi Arabia,23.83%,"34,268,528"
Marshall Islands,23.25%,"58,791"
Kazakhstan,23.14%,"18,551,427"
Bulgaria,22.86%,"7,000,119"
Luxembourg,22.80%,"615,729"
New Zealand,22.69%,"4,783,063"
Uzbekistan,20.65%,"32,981,716"
Micronesia,20.55%,"113,815"
Russia,19.48%,"145,872,256"
United Arab Emirates,19.35%,"9,770,529"
Solomon Islands,16.41%,"669,823"
DR Congo,13.31%,"86,790,567"
Botswana,12.84%,"2,303,697"
Estonia,8.12%,"1,325,648"
Afghanistan,6.32%,"38,041,754"
Brunei,2.46%,"433,285"
